50
1	10.9379	7.42907	11
2	10.3495	10.3037	5
3	14.1064	8.51298	8
4	13.4304	2.16391	14
5	17.829	4.40909	7
6	17.472	5.80922	9
7	13.3859	1.28378	16
8	16.7081	2.52275	9
9	10.8721	3.47137	10
10	11.3349	3.12243	15
11	11.0212	4.5085	12
12	11.2743	0.909361	13
13	15.2426	1.73421	9
14	11.0116	7.04042	14
15	10.0889	0.395197	9
16	17.2476	2.88593	5
17	16.7703	6.93629	8
18	14.1973	0.0308519	11
19	8.69397	1.75323	14
20	15.1871	1.96795	4
21	10.9665	0.902574	17
22	11.0321	0.051017	10
23	12.7923	1.40995	10
24	15.3708	3.85894	9
25	9.08669	7.83527	13
26	10.7261	3.26475	15
27	15.6061	2.33495	9
28	8.14521	0.903679	9
29	3.49246	4.24266	13
30	14.6218	5.88351	11
31	11.5613	2.39466	7
32	8.43711	11.1223	10
33	14.3161	2.5716	11
34	12.2486	6.15748	8
35	13.6081	0.840559	12
36	8.37117	0.122137	8
37	13.6004	2.63652	14
38	16.3175	5.79398	13
39	12.7951	5.00849	7
40	13.9782	0.297038	6
41	8.88429	1.12726	13
42	7.27147	1.69687	12
43	10.8915	5.07994	11
44	16.6927	0.0453872	13
45	15.5145	3.74415	18
46	14.3137	5.44369	7
47	12.3612	0.375988	8
48	19.0916	5.36375	7
49	9.30425	6.2068	9
50	11.5927	1.61469	13
